0,9.0,69.0
0,8.0,98.0
0,7.0,93.0
0,6.0,90.0
0,5.0,82.0
1,0.0,44.0
1,9.0,27.0
1,8.0,36.0
1,7.0,67.0
1,6.0,83.0
2,1.0,36.0
2,0.0,50.0
2,9.0,77.0
2,8.0,34.0
2,7.0,21.0
3,2.0,11.0
3,1.0,71.0
3,0.0,78.0
3,9.0,74.0
3,8.0,82.0
4,3.0,73.0
4,2.0,59.0
4,1.0,3.0
4,0.0,64.0
4,9.0,86.0
5,4.0,34.0
5,3.0,77.0
5,2.0,37.0
5,1.0,42.0
5,0.0,71.0
6,5.0,56.0
6,4.0,72.0
6,3.0,52.0
6,2.0,66.0
6,1.0,56.0
7,6.0,75.0
7,5.0,68.0
7,4.0,89.0
7,3.0,100.0
7,2.0,28.0
8,7.0,36.0
8,6.0,70.0
8,5.0,85.0
8,4.0,0.0
8,3.0,15.0
9,8.0,94.0
9,7.0,97.0
9,6.0,81.0
9,5.0,100.0
9,4.0,100.0
