16,00
26,00
22,00
26,00
75,00
69,00
16,00
16,00
100,00
36,00
48,00
26,00
16,00
54,00
86,00
28,00
36,00
28,00
64,00
16,00
65,00
22,00
69,00
87,00
75,00
47,00
16,00
85,00
95,00
60,00
75,00
47,00
58,00
16,00
36,00
75,00
22,00
88,00
36,00
91,00
47,00
83,00
69,00
69,00
39,00
36,00
16,00
60,00
95,00
54,00
39,00
16,00
61,00
47,00
96,00
64,00
47,00
16,00
100,00
16,00
83,00
17,00
22,00
47,00
95,00
54,00
36,00
95,00
22,00
36,00
76,00
16,00
83,00
54,00
36,00
83,00
78,00
16,00
47,00
77,00
39,00
91,00
26,00
16,00
54,00
57,00
70,00
100,00
75,00
57,00
16,00
85,00
57,00
54,00
16,00
91,00
83,00
64,00
47,00
100,00
